,count,rank,num,metric
0,80,0.5229,153,0.12154813815731996
1,96,0.5963,161,0.14979611297761514
2,110,0.6667,165,0.20998064393099153
3,106,0.6127,173,0.18235792614917304
4,140,0.7609,184,0.2627364584477815
5,133,0.6963,191,0.2382944277856724
6,148,0.715,207,0.18965257392566232
7,158,0.7315,216,0.24139013970850962
8,181,0.8009,226,0.24838363011667633
9,177,0.7597,233,0.254739503363089
10,192,0.768,250,0.24208564355009637
11,204,0.7698,265,0.2441019106604045
12,221,0.77,287,0.26571684665046214
13,220,0.7074,311,0.23110227873561698
14,250,0.7485,334,0.2823035606722507
15,255,0.7224,353,0.25037331117436396
16,265,0.7086,374,0.2384518094309197
17,296,0.7532,393,0.2287267477695435
18,305,0.7385,413,0.21586772452534628
19,337,0.7472,451,0.232336354389429
20,347,0.7214,481,0.2249423362967289
21,392,0.7553,519,0.24821025474744227
22,420,0.746,563,0.23722025445377135
23,436,0.7183,607,0.2276621770685262
24,486,0.7352,661,0.2191053640303839
25,507,0.7022,722,0.21430411379994718
26,574,0.7211,796,0.23317009906441005
27,628,0.7227,869,0.2216705345894061
28,673,0.7198,935,0.22406052995420073
29,737,0.7233,1019,0.21260549366284512
30,802,0.706,1136,0.20979865994150113
31,882,0.7067,1248,0.2095865272580747
32,944,0.6911,1366,0.21345137063337866
33,1042,0.691,1508,0.20044362541522823
34,1174,0.6822,1721,0.19064161597224333
35,1292,0.6705,1927,0.18966448023140614
36,1479,0.6757,2189,0.1922056112648475
37,1643,0.6443,2550,0.16814843555343012
38,1907,0.638,2989,0.173669685625093
39,2227,0.6279,3547,0.16834529756454317
40,2588,0.6101,4242,0.1547723482615478
41,3128,0.6106,5123,0.15473265300371447
42,3727,0.5744,6489,0.14708311667972532
43,4656,0.561,8300,0.14067918580008537
44,5963,0.543,10981,0.1383401385778027
45,8176,0.5377,15206,0.13339148620991703
46,11892,0.5317,22366,0.1347503157827288
47,12675,0.5667,22365,0.15660554160140408
48,5370,0.2401,22369,0.05018985118640283
49,4418,0.1975,22365,0.037500901156715054
