,count,rank,num,metric
0,17,0.1111,153,0.0
1,18,0.1118,161,0.003918818345164332
2,12,0.0727,165,0.003983255653163657
3,17,0.0983,173,0.0020590010815492612
4,11,0.0598,184,0.0
5,10,0.0524,191,0.006374661273585384
6,17,0.0825,206,0.009448517623093136
7,23,0.106,217,0.003316780573231709
8,17,0.0752,226,0.008179159543479052
9,26,0.1116,233,0.002145922746781116
10,26,0.104,250,0.006
11,25,0.0943,265,0.0022719244955772162
12,32,0.1115,287,0.004316700460281989
13,26,0.0836,311,0.0021733685966316063
14,30,0.0898,334,0.005827528833404749
15,40,0.1133,353,0.004960755898261207
16,37,0.0989,374,0.008371469929335447
17,37,0.0941,393,0.003878960971312129
18,34,0.0823,413,0.0
19,47,0.1042,451,0.006804418603122854
20,42,0.0873,481,0.0015212194464394473
21,64,0.1233,519,0.006507559389864891
22,58,0.103,563,0.007124953146867297
23,60,0.0988,607,0.010193139305380652
24,70,0.1059,661,0.007957675147641726
25,90,0.1247,722,0.005312580628048896
26,91,0.1143,796,0.006785973623551114
27,105,0.1208,869,0.005642859443957215
28,120,0.1282,936,0.009535391817969618
29,112,0.1099,1019,0.00719213480444252
30,160,0.1408,1136,0.016485761645803884
31,180,0.1442,1248,0.014745837692538517
32,197,0.1442,1366,0.010656926228402048
33,214,0.142,1507,0.017635213918988122
34,253,0.1471,1720,0.01371258581910419
35,282,0.1463,1927,0.01444777075328059
36,318,0.1452,2190,0.01791646531969491
37,355,0.1392,2551,0.00996148308675488
38,412,0.1378,2990,0.016108419623186557
39,512,0.1443,3549,0.01635054568512712
40,537,0.1266,4243,0.013952869840581314
41,693,0.1352,5126,0.01643957605313872
42,873,0.1345,6489,0.01576872462752216
43,1055,0.1271,8301,0.01627908589635134
44,1300,0.1184,10983,0.014811283280643756
45,1812,0.1192,15205,0.015583153131153379
46,2522,0.1127,22371,0.015087559433285245
47,11991,0.5361,22366,0.08865254292926938
48,3047,0.1362,22367,0.02035426354313717
49,2638,0.1179,22367,0.017267452195232815
