,count,rank,num,metric
0,37,0.136,272,0.007358379413727693
1,32,0.1172,273,0.005140581016963828
2,37,0.1331,278,0.003679402351707514
3,41,0.1449,283,0.01754822988840317
4,36,0.1246,289,0.007013956843224089
5,44,0.1497,294,0.011983655540858696
6,36,0.122,295,0.0034011785752008517
7,41,0.1367,300,0.010891558949070864
8,52,0.1694,307,0.006980752222441165
9,44,0.1375,320,0.016537743323299457
10,55,0.1687,326,0.01866758512305849
11,58,0.1726,336,0.01765339050877238
12,56,0.1633,343,0.01586299054915356
13,55,0.1576,349,0.015076469099311473
14,61,0.1723,354,0.022281613678587546
15,75,0.2078,361,0.019868734970041338
16,73,0.1973,370,0.02093039390626598
17,63,0.1676,376,0.00763882945792752
18,71,0.183,388,0.014683181223699252
19,83,0.2091,397,0.006175602461703648
20,77,0.1901,405,0.022181542835172156
21,77,0.186,414,0.01368286829192232
22,77,0.1833,420,0.017046689177051096
23,74,0.1729,428,0.008456536906442448
24,74,0.1701,435,0.010483161609992105
25,76,0.1712,444,0.009134976870918663
26,71,0.156,455,0.00886162401081065
27,71,0.1507,471,0.007919905610274076
28,84,0.1728,486,0.013271789353974972
29,81,0.1633,496,0.014447321778221696
30,98,0.1914,512,0.016183049692297814
31,90,0.1714,525,0.014830881069431498
32,86,0.1569,548,0.013587089405754071
33,93,0.1626,572,0.018328886030903987
34,103,0.174,592,0.019690996215087343
35,112,0.1821,615,0.01750017165431346
36,112,0.1769,633,0.015305236656958062
37,114,0.1751,651,0.01636977490079558
38,111,0.1635,679,0.011967562614117347
39,116,0.1634,710,0.019184569317742702
40,151,0.2019,748,0.019351681944429128
41,159,0.2018,788,0.02049583892508265
42,143,0.1727,828,0.018353089497687634
43,162,0.1835,883,0.017636774440702312
44,163,0.1747,933,0.01768833095341244
45,188,0.186,1011,0.025007540934834958
46,219,0.2009,1090,0.023876551937284385
47,165,0.1514,1090,0.014146236691741459
48,168,0.1541,1090,0.01914037439241249
49,138,0.1266,1090,0.024046817428355783
