Wall time,Step,Value
1653637596.9071472,0,0.010540638118982315
1653637602.9416409,1,0.011125610210001469
1653637609.0368032,2,0.013159658759832382
1653637615.162311,3,0.01714286580681801
1653637621.2129939,4,0.02339008077979088
1653637627.4257786,5,0.029599936679005623
1653637633.595526,6,0.03325258567929268
1653637639.6955037,7,0.03559503331780434
1653637645.741863,8,0.037515636533498764
1653637651.9896538,9,0.03939847648143768
1653637658.1179063,10,0.04031459614634514
1653637664.275593,11,0.040713854134082794
1653637670.5511992,12,0.041040319949388504
1653637676.709488,13,0.04055951163172722
1653637682.8789206,14,0.041116464883089066
1653637689.114907,15,0.04062868282198906
1653637695.1404557,16,0.04078269749879837
1653637701.2043726,17,0.04062480106949806
1653637707.3915927,18,0.04064182564616203
1653637713.5119636,19,0.039890408515930176
1653637719.7576857,20,0.039757292717695236
1653637725.8418615,21,0.04023623839020729
1653637731.8582523,22,0.03957558050751686
