Wall time,Step,Value
1653725132.506025,0,0.007089886348694563
1653725142.0929267,1,0.006458553485572338
1653725151.2115843,2,0.0059472909197211266
1653725161.4613519,3,0.0068726069293916225
1653725171.8197792,4,0.00791686587035656
1653725182.273032,5,0.008967306464910507
1653725192.549868,6,0.008864366449415684
1653725202.7751873,7,0.009302778169512749
1653725213.2179456,8,0.009542936459183693
1653725223.5962067,9,0.008304258808493614
1653725233.889346,10,0.010335256345570087
1653725244.245345,11,0.010700798593461514
1653725254.3946493,12,0.010985574685037136
1653725264.7469125,13,0.010772696696221828
1653725274.992643,14,0.011183597147464752
1653725285.2225413,15,0.011772231198847294
1653725295.5061004,16,0.010798080824315548
1653725305.7915003,17,0.011164783500134945
1653725316.0387433,18,0.010380329564213753
1653725326.1562874,19,0.01005691010504961
1653725336.2258997,20,0.011018562130630016
1653725346.7163365,21,0.011088045313954353
1653725357.0749233,22,0.010688776150345802
1653725367.272773,23,0.009554651565849781
1653725377.5498424,24,0.011242437176406384
1653725387.7091935,25,0.011032620444893837
