Wall time,Step,Value
1653723605.841657,0,0.009398311376571655
1653723615.7689989,1,0.011501429602503777
1653723625.531443,2,0.01133712287992239
1653723635.5713549,3,0.013637409545481205
1653723645.65827,4,0.016594920307397842
1653723655.696311,5,0.016364891082048416
1653723665.5283072,6,0.01810653693974018
1653723675.356451,7,0.018270842730998993
1653723685.1627276,8,0.01616772450506687
1653723694.9632401,9,0.016102001070976257
1653723704.9957614,10,0.014426078647375107
1653723715.110281,11,0.014064605347812176
1653723725.1058588,12,0.014163188636302948
1653723735.1147761,13,0.014688968658447266
1653723745.344483,14,0.013933160342276096
1653723755.4605243,15,0.01445893943309784
1653723765.6994927,16,0.013078768737614155
