Wall time,Step,Value
1653706734.1643384,0,0.006880961358547211
1653706744.532254,1,0.008791876025497913
1653706754.4110653,2,0.011853016912937164
1653706764.008288,3,0.015579266473650932
1653706773.563783,4,0.017600029706954956
1653706783.0689087,5,0.018691880628466606
1653706792.7601857,6,0.021648980677127838
1653706802.5474544,7,0.02241695113480091
1653706812.197679,8,0.023352842777967453
1653706821.7570477,9,0.024391304701566696
1653706831.3480494,10,0.024855421856045723
1653706841.0151486,11,0.025195347145199776
1653706850.7232783,12,0.025732075795531273
1653706860.488824,13,0.025842612609267235
1653706870.2423413,14,0.026073278859257698
1653706879.9671004,15,0.02551295794546604
1653706889.6374393,16,0.026380227878689766
1653706899.3378384,17,0.027234133332967758
1653706908.855561,18,0.026215320453047752
1653706918.2774332,19,0.02607346698641777
1653706927.7546918,20,0.026118768379092216
1653706937.200416,21,0.026679644361138344
1653706946.644026,22,0.026928314939141273
1653706956.1118274,23,0.026190755888819695
1653706965.7108266,24,0.026313157752156258
1653706975.250676,25,0.025798387825489044
1653706984.7699559,26,0.026210904121398926
1653706994.376347,27,0.025890327990055084
