Wall time,Step,Value
1653638062.733749,0,0.0016763594467192888
1653638063.7134502,1,0.0017837401246652007
1653638064.255104,2,0.002894013887271285
1653638064.7567108,3,0.006572001148015261
1653638065.3908095,4,0.017316674813628197
1653638065.8891294,5,0.023118553683161736
1653638067.798402,6,0.024467526003718376
1653638068.8854525,7,0.024608364328742027
1653638070.1527593,8,0.025436820462346077
1653638071.4520075,9,0.026337996125221252
1653638072.9027965,10,0.025944603607058525
1653638073.2778556,11,0.024384524673223495
1653638073.616662,12,0.023805949836969376
1653638073.945723,13,0.02330338954925537
1653638074.3328776,14,0.024100719019770622
1653638074.657805,15,0.023400645703077316
1653638075.0272439,16,0.023222094401717186
1653638075.3564525,17,0.024387866258621216
1653638075.6772912,18,0.02253805659711361
1653638075.9894722,19,0.022557290270924568
