Wall time,Step,Value
1653641044.838486,0,0.012088586576282978
1653641045.1860273,1,0.013224991969764233
1653641045.5453372,2,0.012738597579300404
1653641045.8822114,3,0.012281539849936962
1653641046.264617,4,0.013632138259708881
1653641046.6078103,5,0.014960999600589275
1653641046.951127,6,0.014065328985452652
1653641047.2810657,7,0.0161517933011055
1653641047.6211724,8,0.014497359283268452
1653641047.9398632,9,0.01511753536760807
1653641048.2629268,10,0.016011076048016548
1653641048.602119,11,0.01614256016910076
1653641048.9396062,12,0.017198555171489716
1653641049.287131,13,0.017324119806289673
1653641049.6271408,14,0.018723661080002785
1653641049.9752474,15,0.019398722797632217
1653641050.3451102,16,0.019495448097586632
1653641050.7406368,17,0.01883011683821678
1653641051.0726376,18,0.020217131823301315
1653641051.4099364,19,0.019919877871870995
1653641051.7486095,20,0.019806837663054466
1653641052.0837862,21,0.019812781363725662
1653641052.4147217,22,0.020067179575562477
1653641052.7521925,23,0.019255707040429115
1653641053.0968835,24,0.019295912235975266
1653641053.4253576,25,0.018907876685261726
1653641053.7575846,26,0.01824912801384926
1653641054.1054897,27,0.018652981147170067
1653641054.474855,28,0.018030650913715363
1653641054.8479996,29,0.018281755968928337
1653641055.19416,30,0.01970469206571579
1653641055.5710485,31,0.01968558318912983
1653641055.925873,32,0.020646510645747185
