Wall time,Step,Value
1653641425.8228843,0,0.06365526467561722
1653641439.6167207,1,0.07101522386074066
1653641452.6931517,2,0.07581886649131775
1653641465.557062,3,0.0784032791852951
1653641478.2141085,4,0.07907747477293015
1653641491.3739634,5,0.08135288208723068
1653641504.1230795,6,0.08211135119199753
1653641517.0052302,7,0.0832631066441536
1653641529.897374,8,0.0834316536784172
1653641542.950153,9,0.08461149781942368
1653641556.27385,10,0.08455531299114227
1653641569.6275053,11,0.08478004485368729
1653641582.815882,12,0.08531378209590912
1653641596.1165428,13,0.08528569340705872
1653641609.2169883,14,0.08520141243934631
1653641622.3186567,15,0.08559469878673553
1653641635.334561,16,0.08590370416641235
1653641648.28134,17,0.08652171492576599
1653641661.5349386,18,0.08607225120067596
1653641674.913461,19,0.08463958650827408
1653641688.1280189,20,0.08427439630031586
1653641701.3631728,21,0.08385302871465683
1653641715.0626194,22,0.08399347960948944
1653641729.9169378,23,0.08368447422981262
1653641745.1272326,24,0.08435866981744766
1653641757.9468136,25,0.08410584926605225
1653641771.0473256,26,0.08360020071268082
1653641783.8788333,27,0.08292600512504578
