Wall time,Step,Value
1653638234.4335942,0,0.023962020874023438
1653638251.2078643,1,0.025872239843010902
1653638265.2120605,2,0.026068881154060364
1653638278.5339308,3,0.03202427178621292
1653638291.611189,4,0.037080734968185425
1653638304.7815661,5,0.04062025994062424
1653638317.7792692,6,0.04281139373779297
1653638331.2748435,7,0.04300803318619728
1653638344.4569225,8,0.043260857462882996
1653638357.7862003,9,0.04261475428938866
1653638370.8332086,10,0.041912466287612915
1653638383.9493718,11,0.04236193001270294
1653638396.7515128,12,0.041603460907936096
1653638409.6092498,13,0.04067644104361534
1653638422.5723176,14,0.04028316214680672
1653638435.5511577,15,0.04118208959698677
1653638448.6538916,16,0.039777517318725586
1653638461.3602958,17,0.040760718286037445
1653638474.2039857,18,0.040564075112342834
