Wall time,Step,Value
1653638234.4335942,0,0.007152704522013664
1653638251.2078643,1,0.00759329367429018
1653638265.2120605,2,0.007988179102540016
1653638278.5339308,3,0.009993101470172405
1653638291.611189,4,0.013338668271899223
1653638304.7815661,5,0.01588836871087551
1653638317.7792692,6,0.017678024247288704
1653638331.2748435,7,0.01826632022857666
1653638344.4569225,8,0.01830921694636345
1653638357.7862003,9,0.01835496909916401
1653638370.8332086,10,0.018127307295799255
1653638383.9493718,11,0.0178747046738863
1653638396.7515128,12,0.01725158281624317
1653638409.6092498,13,0.01656695269048214
1653638422.5723176,14,0.016322549432516098
1653638435.5511577,15,0.01658370904624462
1653638448.6538916,16,0.015870854258537292
1653638461.3602958,17,0.01599220186471939
1653638474.2039857,18,0.01572309620678425
