Wall time,Step,Value
1653639588.325303,0,0.006375078111886978
1653639600.8305907,1,0.011139956302940845
1653639612.6741831,2,0.015937695279717445
1653639624.3044734,3,0.018829483538866043
1653639636.2452738,4,0.021228352561593056
1653639648.2428074,5,0.02168840914964676
1653639660.2314765,6,0.02283855341374874
1653639672.3389304,7,0.024153001606464386
1653639684.2474647,8,0.025237422436475754
1653639696.5018914,9,0.025007393211126328
1653639708.3987947,10,0.025566034018993378
1653639720.0381005,11,0.0254345890134573
1653639731.9250903,12,0.025533173233270645
1653639743.5716789,13,0.026124674826860428
1653639755.2911386,14,0.025927508249878883
1653639767.1536212,15,0.0254345890134573
1653639778.792894,16,0.0254345890134573
1653639790.4058657,17,0.02474450320005417
1653639801.7427292,18,0.02461305819451809
1653639812.7820747,19,0.024711642414331436
1653639824.020601,20,0.02477736584842205
1653639834.944636,21,0.024974532425403595
