,count,rank,num,metric
0,8,0.0899,89,0.009162526705457625
1,9,0.0928,97,0.009484480205044795
2,14,0.1373,102,0.00658502023425246
3,8,0.0721,111,0.007507507507507507
4,21,0.1707,123,0.02038268199796171
5,12,0.0938,128,0.009220231593466702
6,16,0.1194,134,0.011098036870742385
7,19,0.1319,144,0.01379956208805194
8,14,0.0915,153,0.0020618619397760047
9,21,0.1312,160,0.01752916441242134
10,25,0.1404,178,0.0208276577598166
11,21,0.1099,191,0.018284203506378237
12,30,0.1415,212,0.012991237626703575
13,32,0.1391,230,0.016665919747174445
14,28,0.1116,251,0.007254490219092375
15,36,0.1324,272,0.009106425107413274
16,43,0.1458,295,0.012414858006138193
17,53,0.1656,320,0.019804748275009488
18,39,0.1114,350,0.010464599480158043
19,59,0.1561,378,0.007607432487459346
20,55,0.1313,419,0.02075541103132334
21,78,0.1688,462,0.011939197538391294
22,76,0.1462,520,0.009748041367414872
23,81,0.138,587,0.01394977640464753
24,95,0.1459,651,0.011768952453367221
25,111,0.1529,726,0.017460856539052105
26,102,0.1275,800,0.009699990719648149
27,125,0.1397,895,0.01650467990323487
28,162,0.1645,985,0.019533593449323167
29,157,0.1403,1119,0.01380337436862061
30,177,0.1386,1277,0.013599931776848002
31,183,0.13,1408,0.015315944851456098
32,231,0.1407,1642,0.016973554798507123
33,261,0.1374,1900,0.015336532018452498
34,298,0.1367,2180,0.016913645667488642
35,366,0.1437,2547,0.01852422293941497
36,460,0.1526,3015,0.013468620764873896
37,523,0.1476,3543,0.015440771426508963
38,589,0.1392,4231,0.016245085236201308
39,742,0.1439,5158,0.014580969008050204
40,907,0.1431,6339,0.014880325130483572
41,1122,0.1428,7859,0.015708147570546498
42,1391,0.1395,9974,0.015918635717000754
43,1866,0.144,12961,0.015760076734887208
44,2405,0.139,17300,0.014663105819712644
45,3295,0.1362,24184,0.014989817124321856
46,4614,0.1296,35602,0.014743801817859822
47,4508,0.1266,35603,0.014023274431729219
48,3699,0.1039,35606,0.011297606196218815
49,2949,0.0828,35606,0.008495773536774765
