,count,rank,num,metric
0,15,0.1685,89,0.014459367923386687
1,17,0.1753,97,0.02469009943276478
2,22,0.2157,102,0.039853332226183404
3,23,0.2072,111,0.017393482505165703
4,40,0.3252,123,0.044125392894907516
5,32,0.25,128,0.038639562331554585
6,32,0.2388,134,0.032942850284550705
7,37,0.2569,144,0.031457942635583186
8,31,0.2026,153,0.024316439975281573
9,53,0.3312,160,0.040100602038881654
10,55,0.309,178,0.04539055133993933
11,48,0.2513,191,0.02796694455625481
12,66,0.3113,212,0.03884485447256114
13,71,0.3087,230,0.06434657203218103
14,68,0.2709,251,0.041321892029756994
15,75,0.2757,272,0.042330375980064554
16,81,0.2746,295,0.04543695670429313
17,101,0.3156,320,0.07258883269455796
18,92,0.2629,350,0.04289354836136748
19,101,0.2672,378,0.03033048479212446
20,111,0.2649,419,0.03725694313473418
21,115,0.2489,462,0.028945113166329223
22,142,0.2731,520,0.03633350534161752
23,157,0.2675,587,0.03700807101217922
24,200,0.3072,651,0.0406119520214109
25,208,0.2865,726,0.045620698912304934
26,230,0.2875,800,0.03161843388848558
27,259,0.2891,896,0.03945401673426279
28,293,0.2975,985,0.05444810334582918
29,351,0.3137,1119,0.046721345569259894
30,350,0.2741,1277,0.033528957718114503
31,385,0.2734,1408,0.041863605238510064
32,506,0.3082,1642,0.04835132448068275
33,563,0.2963,1900,0.04455453631973997
34,626,0.2872,2180,0.041361451426997375
35,752,0.2952,2547,0.03967914912437812
36,866,0.2874,3013,0.04375688112530438
37,1039,0.2933,3543,0.03869290518735132
38,1228,0.2902,4231,0.03868982627019369
39,1494,0.2897,5157,0.04268808554931333
40,1891,0.2983,6340,0.04170457502757498
41,2221,0.2825,7861,0.04180370780563153
42,2791,0.2798,9974,0.04453627416532009
43,3679,0.2838,12962,0.044818228610068046
44,4908,0.2837,17299,0.043039924184718345
45,6625,0.2739,24186,0.04166435967436516
46,9776,0.2746,35601,0.04144933771756906
47,10101,0.2837,35601,0.04299630461524854
48,5664,0.1591,35604,0.02222340370811878
49,4449,0.125,35604,0.01621739407605161
