,count,rank,num,metric
0,1,0.0112,89,0.0
1,2,0.0206,97,0.0
2,1,0.0098,102,0.0
3,2,0.018,111,0.009009009009009009
4,4,0.0325,123,0.0
5,6,0.0469,128,0.006258046841124853
6,11,0.0827,133,0.0037593984962406013
7,6,0.0417,144,0.002007394627207554
8,12,0.0784,153,0.0
9,12,0.075,160,0.0037783106443976034
10,10,0.0562,178,0.003945604966406013
11,10,0.0524,191,0.0042694496166792075
12,11,0.0519,212,0.0014880418716307958
13,17,0.0739,230,0.010714187334368656
14,15,0.0598,251,0.0038416856051983698
15,16,0.0588,272,0.006936958850126991
16,16,0.0542,295,0.010246738840790113
17,25,0.0779,321,0.006533511928344094
18,25,0.0714,350,0.00944581540826019
19,16,0.0422,379,0.004269305261875823
20,32,0.0764,419,0.005133323863105652
21,24,0.0519,462,0.0062315912232491465
22,38,0.0731,520,0.004664243746338083
23,40,0.0681,587,0.005113252471096988
24,57,0.0876,651,0.006180323714876103
25,61,0.084,726,0.011453176795179872
26,60,0.075,800,0.005742163915381627
27,65,0.0725,896,0.0049448556499238705
28,93,0.0943,986,0.011530623421468556
29,89,0.0795,1120,0.010385167127850124
30,93,0.0728,1277,0.004878925705148808
31,99,0.0703,1408,0.008232476691987135
32,134,0.0816,1643,0.005262854291443541
33,154,0.0811,1900,0.010078656373096838
34,165,0.0757,2181,0.005744464332090002
35,207,0.0813,2547,0.009174939798556814
36,250,0.083,3013,0.009301676777167214
37,294,0.083,3544,0.00912175593099796
38,323,0.0763,4233,0.009285297462409064
39,435,0.0843,5158,0.010199953941786405
40,532,0.0839,6339,0.007104931085998642
41,622,0.0791,7864,0.008231354408303958
42,781,0.0783,9976,0.009375681235671483
43,1043,0.0805,12963,0.009825724735000613
44,1406,0.0813,17304,0.010339840324408026
45,1914,0.0791,24187,0.00914865494170678
46,2728,0.0766,35605,0.00957824109542307
47,10354,0.2908,35602,0.03407500061546585
48,2950,0.0828,35607,0.01081492182010558
49,2323,0.0652,35609,0.00787643678045407
