,count,rank,num,metric
0,18,0.1525,118,0.016058810550662574
1,36,0.3025,119,0.024837357960024783
2,31,0.246,126,0.018666060573429545
3,40,0.3077,130,0.013506439676319065
4,52,0.3768,138,0.036489602330521724
5,52,0.3636,143,0.03455961664167609
6,52,0.3421,152,0.01206140350877193
7,64,0.3975,161,0.04844977296897004
8,61,0.3675,166,0.021272451389674846
9,63,0.352,179,0.028326326940525243
10,82,0.4362,188,0.02575128539397912
11,77,0.3756,205,0.045357347991291104
12,88,0.4,220,0.018609890402190438
13,81,0.3476,233,0.030411842772332495
14,92,0.3608,255,0.02681285265381968
15,101,0.3646,277,0.01927388614511541
16,116,0.3932,295,0.03287724294375667
17,117,0.3691,317,0.01904591842679804
18,127,0.3724,341,0.036619820609985726
19,128,0.3536,362,0.03192888298193062
20,123,0.3162,389,0.016683248917886553
21,161,0.3815,422,0.025308360109267323
22,169,0.3666,461,0.02235997232615647
23,189,0.3728,507,0.03344063776468405
24,211,0.3829,551,0.026350504831894203
25,216,0.3673,588,0.02134349437241601
26,236,0.3764,627,0.02438087034125199
27,249,0.3609,690,0.024886128553925472
28,272,0.3651,745,0.033436246312481925
29,298,0.3688,808,0.024783426237509874
30,339,0.3865,877,0.025261108101821455
31,377,0.3871,974,0.021079193917473666
32,385,0.3542,1087,0.02288137163034042
33,415,0.3382,1227,0.024951891616415478
34,493,0.3562,1384,0.02352935018215601
35,533,0.3425,1556,0.022313285915986247
36,607,0.3395,1788,0.022575395138052557
37,695,0.3313,2098,0.02154915941154
38,760,0.314,2420,0.01851172460875182
39,889,0.3128,2842,0.019922490860212614
40,1089,0.3211,3391,0.02051617333225314
41,1285,0.3068,4188,0.0206111709767792
42,1549,0.2966,5223,0.02027900556427248
43,1894,0.2811,6739,0.01867858360919716
44,2525,0.2802,9011,0.018393878789038687
45,3437,0.2678,12834,0.019677991863495992
46,5046,0.2599,19412,0.0184200188701896
47,5333,0.2747,19413,0.02004451884626235
48,2698,0.139,19413,0.012690217778559639
49,2260,0.1164,19416,0.009484778161131623
