,count,rank,num,metric
0,48,0.4068,118,0.09595364358996712
1,58,0.4874,119,0.0950814811165517
2,73,0.5794,126,0.1334165800203718
3,76,0.5846,130,0.1452959266827552
4,90,0.6522,138,0.1765918006271896
5,99,0.6923,143,0.1630963997452601
6,98,0.6405,153,0.17376484343753804
7,108,0.6708,161,0.14390702104627434
8,115,0.6928,166,0.14442026503854502
9,136,0.7598,179,0.17453054302550564
10,135,0.7181,188,0.17075713197099218
11,153,0.7463,205,0.17401946591295347
12,173,0.7864,220,0.18160905200245164
13,175,0.7511,233,0.2213462314129507
14,186,0.7294,255,0.1785156503346953
15,209,0.7545,277,0.1949007470390545
16,223,0.7559,295,0.19679432335978125
17,241,0.7603,317,0.1999271990858507
18,257,0.7537,341,0.1918453111627469
19,270,0.7459,362,0.19087868861553411
20,273,0.7018,389,0.1851234134427927
21,318,0.7536,422,0.1684604731442206
22,330,0.7158,461,0.16000535952821346
23,362,0.714,507,0.1780774261338105
24,411,0.7459,551,0.19021045486486943
25,420,0.7143,588,0.18284432456939523
26,456,0.7273,627,0.18106252875387918
27,479,0.6942,690,0.16317638692006414
28,538,0.7221,745,0.17383289939281865
29,563,0.6968,808,0.1678267574124379
30,631,0.7195,877,0.18317800385414454
31,692,0.7105,974,0.17348758619286045
32,776,0.7139,1087,0.18965013678127896
33,841,0.6854,1227,0.16612433906004534
34,952,0.6879,1384,0.17436183064073454
35,1067,0.6862,1555,0.1787771867887893
36,1197,0.6695,1788,0.16803648040846758
37,1390,0.6629,2097,0.1555402395248042
38,1546,0.6386,2421,0.14845178329829675
39,1877,0.6602,2843,0.1649229812635719
40,2216,0.6537,3390,0.172539558682981
41,2614,0.6242,4188,0.15419657363060152
42,3134,0.6,5223,0.15303294595816905
43,4056,0.6018,6740,0.15895523875773537
44,5205,0.5776,9011,0.15013681936434306
45,7092,0.5526,12834,0.14757749446812943
46,10771,0.5548,19413,0.15120689847576282
47,11992,0.6177,19415,0.18865783961547977
48,3794,0.1954,19413,0.0351116219621953
49,3229,0.1663,19415,0.02712033686736202
