,count,rank,num,metric
0,3,0.0254,118,0.0025511016581693316
1,1,0.0084,119,0.0
2,1,0.0079,126,0.0
3,1,0.0077,130,0.0
4,6,0.0435,138,0.0021813767801737763
5,3,0.021,143,0.0
6,3,0.0197,152,0.0
7,4,0.0248,161,0.0
8,7,0.0422,166,0.0
9,5,0.0279,179,0.0024060142909128105
10,5,0.0266,188,0.0015375788633930204
11,7,0.0341,205,0.0
12,5,0.0227,220,0.0028678625162338973
13,6,0.0258,233,0.0018483972449501848
14,5,0.0196,255,0.00196078431372549
15,12,0.0433,277,0.0
16,5,0.0169,295,0.0
17,7,0.0221,317,0.0031545741324921135
18,6,0.0176,341,0.0
19,17,0.0468,363,0.0008690492473436052
20,8,0.0206,389,0.0038819778968411673
21,13,0.0308,422,0.001474877155571614
22,14,0.0304,461,0.0008391601024610448
23,15,0.0296,507,0.0005701475864258143
24,12,0.0218,551,0.0005725315368162046
25,17,0.0289,589,0.002407153648137305
26,24,0.0383,627,0.005259324434191586
27,20,0.029,690,0.003343257082788242
28,34,0.0456,745,0.001817590219313551
29,28,0.0347,808,0.0008365317246936009
30,34,0.0388,877,0.0023065836417043204
31,41,0.0421,974,0.0023441083563823166
32,44,0.0404,1088,0.003266500630177584
33,43,0.035,1227,0.0024729489577853155
34,58,0.0419,1384,0.0005701335450273757
35,50,0.0322,1555,0.0016864296846631646
36,63,0.0352,1788,0.002667186461349108
37,91,0.0434,2098,0.003231789908603535
38,125,0.0516,2421,0.004051700359508135
39,144,0.0507,2842,0.003208711330434742
40,160,0.0472,3390,0.0033072279400982512
41,209,0.0499,4188,0.004109056604461264
42,267,0.0511,5223,0.0033563069360467756
43,361,0.0536,6739,0.004192985479791052
44,514,0.057,9017,0.005418023395480073
45,696,0.0542,12837,0.005497445688634949
46,1040,0.0536,19416,0.006474469709217535
47,12060,0.6212,19414,0.13318900599868008
48,1344,0.0692,19414,0.010086663867292848
49,1183,0.0609,19415,0.007512841155478818
