,count,rank,num,metric
0,40,0.113,354,0.011848757124087105
1,49,0.1324,370,0.00957403443119072
2,53,0.1335,397,0.013052529186479244
3,53,0.1271,417,0.00677090124409536
4,59,0.1323,446,0.008894991054736432
5,57,0.1208,472,0.007131503988844679
6,80,0.1603,499,0.007077343023531567
7,77,0.145,531,0.011804512252497984
8,72,0.1286,560,0.007141590769773035
9,79,0.1339,590,0.006952685100367183
10,82,0.13,631,0.012968832468409179
11,85,0.1254,678,0.006623675307404068
12,96,0.1326,724,0.008759833732011979
13,117,0.1512,774,0.007569533923918016
14,115,0.1427,806,0.011157497255204459
15,117,0.1364,858,0.008493202280771207
16,130,0.1405,925,0.012451863514874581
17,133,0.1345,989,0.008472102375530333
18,155,0.146,1062,0.009365128567093022
19,155,0.1357,1142,0.00807960954067101
20,183,0.1506,1215,0.011803511005725723
21,206,0.1574,1309,0.013981551326136075
22,194,0.1383,1403,0.011795364744313157
23,221,0.1462,1512,0.014999726201249819
24,242,0.1496,1618,0.013317058743344035
25,245,0.141,1738,0.006061061585313454
26,272,0.1458,1866,0.009933142096736213
27,320,0.1583,2021,0.01303810553551251
28,324,0.1481,2188,0.01303784677987703
29,374,0.156,2398,0.012669375931442411
30,390,0.1498,2604,0.011853239275342698
31,439,0.1531,2868,0.014551418987292833
32,451,0.1437,3139,0.008676839130187726
33,541,0.156,3468,0.014610079661877613
34,646,0.1673,3862,0.013131423812382364
35,696,0.1611,4321,0.013703082556488472
36,781,0.1613,4841,0.012192195756213815
37,836,0.1535,5445,0.011321091019067746
38,983,0.1597,6157,0.012220250042747866
39,1028,0.147,6995,0.012429584214250975
40,1296,0.1608,8062,0.013231540778898978
41,1534,0.1623,9454,0.01302608696943854
42,1778,0.1581,11248,0.013425801396049184
43,2290,0.1665,13753,0.015251517621765206
44,2837,0.1652,17170,0.013971711022077527
45,3589,0.1605,22355,0.01414967734713326
46,4953,0.1627,30435,0.014118168274963554
47,4843,0.1591,30435,0.014395638239238256
48,4098,0.1346,30435,0.011549188945142936
49,3930,0.1291,30441,0.011167525508314713
