,count,rank,num,metric
0,92,0.2599,354,0.027268385713778084
1,92,0.2486,370,0.028169998188687
2,96,0.2418,397,0.024742676437285317
3,104,0.2494,417,0.024986906728262225
4,126,0.2819,447,0.035648604974395794
5,133,0.2818,472,0.027761189628468394
6,134,0.2685,499,0.018873579807732657
7,156,0.2938,531,0.03884051360652665
8,152,0.2714,560,0.02271440374468331
9,161,0.2729,590,0.01929563807758582
10,168,0.2662,631,0.021442222359286323
11,175,0.2581,678,0.02516635669580641
12,208,0.2873,724,0.02292256754245319
13,235,0.3032,775,0.02596554542433305
14,221,0.2742,806,0.0268779557338974
15,233,0.2716,858,0.0200945810460295
16,268,0.2897,925,0.03156496109864198
17,263,0.2659,989,0.024963350443871688
18,301,0.2834,1062,0.03473775935542394
19,314,0.2752,1141,0.028012221451283993
20,348,0.2859,1217,0.026902939438164002
21,390,0.2979,1309,0.032436189961482495
22,396,0.2821,1404,0.026190961833218264
23,399,0.2639,1512,0.027980101112484855
24,486,0.3004,1618,0.03141034635664183
25,481,0.2768,1738,0.026722847129304644
26,543,0.2908,1867,0.03023096922857034
27,596,0.2946,2023,0.03260032140780222
28,618,0.2824,2188,0.02872659984189924
29,696,0.2901,2399,0.032049852683369164
30,780,0.2995,2604,0.03714329516993003
31,883,0.308,2867,0.03395792189383659
32,888,0.2828,3140,0.028607525445112074
33,1030,0.2969,3469,0.031003878031605262
34,1138,0.2946,3863,0.033758011593252486
35,1265,0.2928,4320,0.02892657762561751
36,1437,0.2968,4841,0.031155602991094676
37,1690,0.3101,5449,0.03156104688718763
38,1850,0.3005,6157,0.03691701792374349
39,2096,0.2995,6998,0.03283530424303195
40,2457,0.3048,8062,0.034644609520469265
41,2901,0.3068,9455,0.03596017115923151
42,3385,0.3009,11248,0.03284314688015356
43,4312,0.3135,13754,0.03494010261974593
44,5349,0.3115,17173,0.035244922077993304
45,6798,0.304,22361,0.03637175457454113
46,9266,0.3045,30433,0.03710451938001789
47,9525,0.313,30436,0.03597719554202496
48,5959,0.1957,30443,0.020948177085389676
49,5561,0.1827,30435,0.019165435761353843
