,count,rank,num,metric
0,17,0.048,354,0.002309404986745578
1,6,0.0162,371,0.0
2,13,0.0327,398,0.003407555746502568
3,8,0.0192,417,0.0
4,15,0.0336,446,0.0
5,22,0.0466,472,0.0042372881355932195
6,19,0.0381,499,0.002004008016032064
7,24,0.0451,532,0.0019656911796040936
8,21,0.0375,560,0.0020543177544012033
9,22,0.0373,590,0.003146113876454275
10,31,0.0491,631,0.0046241101406543144
11,31,0.0457,678,0.004227540733970892
12,29,0.0401,724,0.0013071749038082682
13,51,0.0659,774,0.00510136837064521
14,45,0.0558,806,0.0044428618863546245
15,44,0.0512,859,0.005601591255657004
16,57,0.0616,925,0.010537782533956588
17,70,0.0708,989,0.00569455797281126
18,47,0.0442,1063,0.004414427154483826
19,62,0.0543,1141,0.004594994042821518
20,73,0.0599,1218,0.003408937959617683
21,83,0.0634,1309,0.005612460626355863
22,102,0.0725,1406,0.006493711684281768
23,88,0.0582,1513,0.004558454863916561
24,104,0.0643,1618,0.0063789474150278466
25,83,0.0477,1739,0.0026202697548323244
26,108,0.0578,1867,0.0039858031750623895
27,136,0.0673,2021,0.006207458901434031
28,139,0.0635,2189,0.0035900287709974845
29,156,0.065,2399,0.0053735152729441115
30,182,0.0699,2604,0.006620410390319336
31,205,0.0715,2867,0.007671445306780398
32,202,0.0643,3140,0.0060930905962217645
33,235,0.0677,3470,0.0051400271947184255
34,273,0.0707,3863,0.007349679228609335
35,310,0.0717,4325,0.006658131702941285
36,360,0.0743,4842,0.007532085702653872
37,395,0.0725,5447,0.007779477536081618
38,477,0.0775,6157,0.007794691874999959
39,539,0.077,6999,0.005560057994045261
40,615,0.0763,8063,0.007047855648897932
41,711,0.0752,9459,0.00667762447656122
42,848,0.0754,11248,0.007057581997142517
43,1106,0.0804,13757,0.008209147155571637
44,1423,0.0828,17179,0.008492656156894382
45,1851,0.0828,22362,0.008388560538326189
46,2603,0.0855,30441,0.009387200318071418
47,4639,0.1524,30432,0.01461186497313339
48,2627,0.0863,30444,0.008747698156523445
49,2590,0.0851,30438,0.008209458749313213
